Complexes(Gene Name)	Min-p-value	Avg-p-value	Number-of-resources
SALL1;ZNF516;ZNF536;SALL3;ZNF3;HIC2;ZNF507;ZNF714;SALL2;ZNF764	0.000199904301767	0.01586788543056193	29
TUBB;UBR5;HSPA5	1.34666239916e-07	0.015423064561631653	6
EIF2B3;EIF2B4;EIF2B2;EIF2B5;EIF2B1	9.42210695977e-18	0.006207850244199738	164
MAK16;RPF1;NSA2;RRP1;PPAN;ZNF593	1.19729610691e-09	0.009996709591372529	10
TXNL4B;CD2BP2;SNRNP40;SNRPD3;SNRPD1;PRPF3;SNRPD2;SNRPE;SNRPN;SNRPB;LSM4;LSM3;EFTUD2;SNRNP200;DDX23;SNRPF;LSM2;PRPF8;PRPF6;SART1;PRPF31;LSM7;LSM6;PRPF4	1.20023380478e-57	0.006130537491332624	230
SSNA1;CCDC28B;HAUS2;HAUS1;HAUS8;HAUS7;HAUS6;CEP57L1;CEP44;HAUS4;HAUS5;SPICE1;CEP57	1.35683760628e-17	0.0005091150934773448	73
ST7;TMEM39B;TMEM104;TMEM223;TM9SF3;EMC4;ALG6;LMF2;RFT1;TMTC4;DPY19L1;TMEM14C;ABCC3;TLCD4;TMEM186;LMBRD2;ERMP1;LPCAT3;SOAT1;CAMLG;MBOAT7	0.0274175889872	0.0274175889872	1
ALG9;RPN2;LPCAT4;SOAT1;FDFT1;GPAT3;ALG11;CDS1;UBAC2;GPAT4;LPCAT3;PTDSS2;ERMP1;MBOAT7;PIGO	1.26773974094e-11	0.006498824241667987	46
HEBP2;PDCD6	0.0499607057562	0.0499607057562	1
SMRP1;TSSK3	1	1	0
KRT33B;KRT78	0.0103092021983	0.01712695834315	2
TMEM176A;TMEM176B	0.0023779578526	0.0083228524841	2
RPA1;RPA3;RPA2	1.98038588111e-10	0.00518494469815548	145
WAC;HMG20B	1	1	0
ZNF600;ZNF695	1	1	0
PITX2;TBX22	0.0209801307895	0.04029443290328	5
CRYM;RNF126;BAG6	0.0499591330329	0.0499591330329	1
MRPS36;COQ9	1	1	0
HMGB1P1;HMGB1	0.0345892697168	0.0398087359758	3
TNNT3;TNNI2;TNNC2	4.37331741051e-07	0.013129035767088001	38
PLAUR;PSCA	0.00496980609406	0.034963739202153336	3
SOD3;AZGP1	0.0499607057562	0.0499607057562	1
FOXP2;PUS7L	1	1	0
IDI1;ZNF655	0.0477254774374	0.0477254774374	1
PDCL3;CDC20	0.0499607057562	0.0499607057562	1
NPAT;PHF23	1	1	0
TUBB2B;RMDN1	0.0499622784796	0.0499622784796	3
NT5C2;GLYCTK	1	1	0
TMEM158;AGPAT1	0.0248169195602	0.0248169195602	1
TACR3;LENG8	1	1	0
ARFGAP3;ARFGAP2	0.00388686777504	0.012170366675754546	11
MYH6;MYH7;MYH13;MYH3;MYH2;MYH4;MYH1;MYH8;MYL1	1.41330715932e-24	0.008573072010220005	54
PTPN14;RAI1	0.0396083163792	0.04789148605952	5
EVPL;PLEC	0.0499622784796	0.0499622784796	2
COL2A1;COL5A2;COL3A1;COL4A4;COL4A6;COL4A1;COL5A1;COL26A1;COL13A1;COL1A1	5.14551259534e-26	0.005824572138903464	303
PPP1R15B;KCTD20	1	1	0
STARD3NL;STARD3	7.07725551369e-05	0.004303495593480484	6
CINP;SLFN5	1	1	0
KIF3B;KIF3C;KIF15;KIF13A	1.72303896298e-06	0.014541847859571006	31
SULF2;SULF1	0.000396326308767	0.017870713558939728	11
TNFSF9;COMTD1;GGT7	0.0356132872672	0.0356132872672	1
PFKFB4;AMPD2;ARHGEF17;DEPDC1B;SYDE2;WWC2;DOCK11;NADK;PFKFB2;PFKFB3	8.83584869239e-06	0.011427965677328056	17
RPL7;RPL28;RPL34;RPL18A;RPL14;RPL27A;RPL32;RPL31;RPL35A;RPL36;RPLP1;RPL9P8;RPL30;RPL8;RPL27;RPLP2;RPL21;RPL12;RPL24;RPL18;RPL10A;RPL26;RPL13A;RPL37A;RPL15;RPS26;RPL11;RPL19;RPL7A;RPS13;RPL6;RPS14;RPL5;RPS17;RPS24;RPS5;RPS8;RPLP0;RPL4;RPS16;RPS18;RPS9;RPS19;RPL13;RPL23A;RPL35;RPL3;RPS20;RPS15;RPS2;RPS3A;RPS25;RPS3;RPS23;RPS6	1.81405137761e-136	0.002796076630529469	631
CHST7;NDST1;GALNT16;GLCE;GALNT18;GALNT6;CHSY3;B4GALT6;PXYLP1;B4GALT4;B4GALT5;LARGE2;MANEAL;GALNT7;CHPF2;MGAT1;B4GALT7;B4GALT3;CHSY1;TPST2;NDST2;GLT8D2;TPST1;CHST10;MGAT2;GALNT12;ST8SIA4;MAN2A2;GALNT13;CHST3;HS6ST2;B3GNT2;ST3GAL4;ST6GALNAC4;MGAT5;ST3GAL6;ST6GALNAC3;C1GALT1C1;CHST14;EXT1;MAN1A1;FUT8;EXT2	1.70708242012e-50	0.0036121083571666944	159
MAPK7;MAP2K5	1.57272344749e-06	0.008159153504214145	24
RASSF10;FAM110A	1	1	0
SLC2A3;SLC2A14	0.000298817455022	0.0179723859452584	5
TRIM34;TRIM6;TRIM6-TRIM34	0.0183492091385	0.0183492091385	1
ELFN2;ELFN1	1	1	0
SHISAL1;TMEM262	1	1	0
POLE3;POLE4;CHRAC1	7.48585863061e-07	0.006781568565508273	39
NINJ2;TMEM86B	1	1	0
CDIP1;OTUB2	1	1	0
LMNB1;LMNB2	3.14544689497e-05	0.025002622136753864	17
U2AF1L5;U2AF2	0.0011815990571	0.009000076395922	5
ZNF750;CTBP2	1	1	0
