UniProt1	UniProt2	Weight
Q8TEX9	Q13330	0
Q6IEG0	Q8NBT2	0
Q6PGP7	Q9NS69	0
Q9NZE8	Q99575	0
P35568	Q08495	0
Q9UDW3	P08621	0
Q05048	Q5T1M5	0
Q9P0M9	O75934	0
Q9H3R5	Q53T94	0
P54257	Q8N1B4	0
P57678	P03928	0
Q96HW7	Q92974	0
P03905	Q96CB8	0
Q9BU64	Q9NVX0	0
Q96N67	Q9NQC3	0
Q9BX66	Q9UQ35	0
Q99832	Q9BPX6	0
Q9NVH2	Q9HAR2	0
Q13546	Q9NRI5	0
Q02878	Q7L2Z9	0
P10155	O60832	0
Q9BZM4	Q13535	0
Q9Y297	P19838	0
Q92618	Q13416	0
Q7Z6J9	Q96DV4	0
Q9ULK5	O95926	0
Q9GZY4	Q7L1W4	0
Q13596	O15446	0
O00566	Q5BKZ1	0
Q15572	O94887	0
Q9ULM6	P30260	0
O15355	P11362	0
Q14974	P46782	0
Q9UBU6	Q68E01	0
P39023	Q99575	0
Q6DD88	P49768	0
Q9Y296	P49841	0
P78371	Q8NI27	0
P40763	P17301	0
Q99871	Q9Y5P8	0
Q16594	Q13523	0
P15880	P28482	0
P02647	Q14573	0
O43181	O43791	0
Q96S52	Q9NWR8	0
Q9H8E8	P21333	0
Q969N2	P62829	0
Q8NFJ9	Q96CW5	0
Q00613	Q9Y2X7	0
Q99459	Q53T94	0
Q9UQ90	Q01196	0
Q96EY7	O14617	0
Q9BX63	O00213	0
P52294	Q9H0D6	0
O95059	Q13523	0
Q13573	O00159	0
O60231	Q6P1X5	0
Q9NYY8	Q15287	0
Q9Y4A5	Q8TAF3	0
Q96N67	Q9BZM4	0
Q96H22	P62068	0
Q96EY7	Q8WUQ7	0
Q9NWU2	Q13405	0
Q9UQM7	Q13367	0
Q9H9J2	P50914	0
Q9NRX2	O14561	0
O60313	Q14683	0
Q8WX92	P62834	0
Q00610	P51003	0
P12956	Q9H9B1	0
P35268	O75971	0
Q8TDY2	Q9P2Y5	0
Q00839	O00566	0
P62280	Q16795	0
O00505	Q09028	0
Q92896	P49768	0
Q9UBU6	P06576	0
Q9Y2T2	P08865	0
Q6NSJ5	Q9NZ08	0
P42224	P49754	0
P84243	Q9UPS6	0
Q9BYD6	Q12874	0
P62913	P78345	0
Q9NRA8	O75717	0
P13612	O15315	0
O94906	P36542	0
Q9NZN8	Q9UKL0	0
Q9BT25	P78537	0
Q96A35	Q96DF8	0
P18077	Q15572	0
P46937	O15042	0
O95059	Q9GZL7	0
Q07157	A5D8V6	0
Q96EP0	Q07864	0
Q7Z4H7	Q9NTJ3	0
O43303	Q6P2Q9	0
Q96CS2	P17980	0
P78527	Q8TEX9	0
Q53GS7	Q7Z7H8	0
O14974	Q7KZ85	0
Q7L2E3	Q8N5N7	0
Q9BYD6	Q9BQ67	0
Q5SXM2	O15078	0
P00395	Q8IXM3	0
Q9P0J0	O60313	0
P38936	Q13309	0
O95453	Q8N684	0
O00165	Q6NSJ5	0
P28482	P46783	0
Q8WYQ5	Q08170	0
P61218	Q15528	0
O75400	Q9HCM2	0
P49642	Q12955	0
P62829	Q9UL46	0
Q96KQ7	Q92974	0
Q4U2R6	P61313	0
P78527	O75146	0
O94927	Q5T2T1	0
Q8TEX9	Q96DV4	0
P18615	Q9HB71	0
Q9NPI6	Q8N5N7	0
Q9NXX6	O75317	0
O15360	Q8IYH5	0
Q9NQB0	P11142	0
P33240	Q04726	0
Q9Y6D9	O94887	0
P48382	Q92888	0
P49321	O75446	0
Q92797	Q9Y2X9	0
Q14839	O95613	0
Q9NRX2	Q99575	0
Q71U36	Q96L91	0
P40937	P78371	0
P24539	Q8N3P4	0
Q9UJY1	P61586	0
P17252	O75436	0
Q9BYD1	P62847	0
Q9BYC9	Q9UPY3	0
P02792	P62906	0
Q13557	Q9UIV1	0
O95402	P61218	0
P32969	P78345	0
Q15696	P05412	0
O75533	P49368	0
P05556	P17181	0
Q8N3P4	P52948	0
P31749	Q9BYM8	0
Q14185	Q8N201	0
Q12849	P08865	0
Q3SYG4	Q9NS73	0
Q9BQ95	Q75QN2	0
P25445	Q86XI2	0
P09001	O00566	0
Q5XPI4	Q9H269	0
Q9NQB0	Q9HCK8	0
O75528	Q6MZP7	0
Q8TAG9	Q13535	0
P46934	O60271	0
P00519	Q9Y2X7	0
Q15047	Q92990	0
O15379	Q9H9A5	0
O43318	Q04727	0
P28370	Q00653	0
P62241	P62318	0
Q9NVC6	P62487	0
Q96LT9	P35269	0
P62851	Q9NYV4	0
Q9Y679	Q6P9B9	0
Q92974	Q08170	0
Q8WWY3	P14373	0
Q9BXP5	Q9NWU5	0
P20585	O75146	0
P54132	Q9NV31	0
Q9H490	Q8WXD5	0
Q12929	O60231	0
Q9NP66	Q13416	0
Q9Y294	Q14566	0
Q9UNP9	Q15648	0
Q8WUM0	O15120	0
P25398	Q8IXM3	0
Q14145	O94776	0
P24539	Q13535	0
Q96JG6	Q53GS7	0
P04844	Q8N201	0
Q01970	Q96G21	0
Q9UL63	Q9NUL7	0
Q6WCQ1	Q14980	0
Q14839	Q9H9A7	0
Q9NR30	P84103	0
O14757	Q8N201	0
O00443	Q01201	0
Q9BUL9	Q8IXM3	0
O14791	P14780	0
P46937	Q8WUH2	0
Q8N1B4	O75436	0
P62487	P62136	0
Q7Z7F7	Q12874	0
Q9UQ90	Q2M389	0
Q9UDW3	Q9ULR0	0
Q2VPB7	Q9UHI6	0
P28370	Q4U2R6	0
Q15554	P49642	0
P62750	Q9NX20	0
Q13247	P61981	0
Q08209	O95067	0
O75161	Q7Z4H7	0
P36897	O60313	0
P62979	Q9BYD2	0
Q07020	Q9H0U6	0
P11388	Q96G21	0
Q13576	O15078	0
Q92878	Q9NXF1	0
Q8WTW3	Q99741	0
Q96ST3	Q9Y294	0
Q9Y2J2	Q9UKV3	0
Q86U70	P11717	0
O43752	Q92896	0
Q92542	Q7KZN9	0
Q9BSJ2	P11142	0
P52815	O95071	0
Q6P9B9	Q14683	0
Q92562	O60313	0
Q9NRA8	P11802	0
O75818	P39023	0
P52435	O75586	0
Q8TCC3	Q04206	0
O43739	P62318	0
Q14318	Q9P0U4	0
P17301	P21709	0
Q8TCC3	P62847	0
Q9UMN6	Q9UBU8	0
P39019	O95793	0
Q96H22	Q9BRD0	0
P54198	Q5T1M5	0
Q15554	Q9UL03	0
Q9HCG8	P67775	0
P48382	Q9BVC3	0
O00425	P05388	0
Q13112	Q7KZ85	0
Q86SZ2	P51003	0
Q9UL03	Q92620	0
Q14258	Q92630	0
P40763	P84243	0
P32004	P22455	0
Q96GD4	Q9NTJ3	0
P05386	P78345	0
Q9NRA8	Q00653	0
P15880	Q9ULG1	0
Q14137	Q9Y4W2	0
Q9Y3B7	P36578	0
Q99720	Q15054	0
O43292	P23229	0
Q12959	Q99816	0
Q9Y2X0	Q5T1M5	0
Q9UBW7	P40337	0
P62841	Q13111	0
Q9UL15	Q15751	0
O43292	Q9ULK4	0
Q9UL63	P21709	0
O95402	Q9BZM5	0
Q92797	O14920	0
O95831	Q71U36	0
P84098	Q8IXM3	0
Q6PGP7	Q00653	0
Q92797	P40227	0
O15504	P07910	0
O14662	P51151	0
P27635	O43464	0
O60282	O95613	0
Q07021	P62263	0
Q96HW7	Q6PGP7	0
Q14573	Q13576	0
Q9Y2X7	Q9H981	0
O95167	Q9H0H0	0
Q9BT25	Q12768	0
P40429	Q9NRX2	0
P56279	Q9Y297	0
P00395	Q9NQ50	0
Q9Y2X7	Q14683	0
Q96CB8	Q7L1Q6	0
Q9BZD4	Q9H981	0
Q03111	Q9Y6M9	0
Q9H9B1	Q9Y6J0	0
Q9ULK5	Q14152	0
Q9H2X6	P14373	0
Q92572	P24539	0
Q9Y6D9	Q9UBN7	0
Q15751	P54277	0
O60832	Q14562	0
O75717	O14920	0
P46777	O95793	0
P30154	Q6PI98	0
Q9BX63	Q15542	0
Q9H1B7	P83111	0
Q9BYD1	P46781	0
Q96DV4	Q14498	0
P27361	Q8TEQ6	0
Q15596	Q15428	0
Q9GZS1	Q9BT25	0
Q00613	P51587	0
Q9BZM4	Q96CW5	0
Q9Y375	Q08345	0
P62861	Q13363	0
Q9UK41	O75955	0
Q9P0M9	Q9BQG0	0
P23229	Q15599	0
Q13049	O14617	0
O75306	Q99720	0
P83436	O75051	0
Q9Y297	Q9UPZ3	0
Q8TCC3	Q07955	0
Q9Y6J0	Q15528	0
Q8N1B4	Q15526	0
Q8IZH2	Q9NY12	0
O43752	Q15047	0
O15379	Q86YV9	0
Q4U2R6	P46199	0
P14373	O15446	0
Q15554	Q9Y6D9	0
Q8IYU8	Q96HW7	0
P62269	Q9H2W6	0
Q96KQ7	Q13393	0
Q13042	Q86VS8	0
P23396	Q96EY7	0
O96008	Q96FC9	0
Q99708	Q9NYY8	0
Q15628	Q8WX92	0
Q8IYU8	Q7Z7H8	0
Q6P4R8	Q8NFJ9	0
Q15836	Q9BTT4	0
Q9UL46	P56192	0
Q8WX92	Q00613	0
Q9UKB1	Q14145	0
Q9H7L9	Q52LA3	0
Q96T58	Q7Z5L9	0
Q86UW6	P36507	0
Q9Y232	Q9P015	0
Q16718	Q96S59	0
Q9BUR4	Q96EP0	0
O60282	Q6R327	0
Q9UI95	P16104	0
A5YKK6	Q9NX20	0
Q7Z7F7	Q96S59	0
P42575	P24385	0
O95639	Q92620	0
P67809	O95707	0
Q7Z7H8	Q92599	0
O75717	P25054	0
Q7Z7F7	Q15459	0
Q9NQC1	P33991	0
Q9C086	O60563	0
Q08379	Q92616	0
Q6P2Q9	Q9Y6J0	0
Q9P015	P05388	0
O75376	Q5PSV4	0
O95347	Q8TAF3	0
Q9NPF5	P51587	0
O60271	Q8IWT6	0
Q08945	P11387	0
Q9NQB0	P22455	0
O75818	P62424	0
O95793	P05386	0
Q14137	O75161	0
Q9BRJ2	Q9NY12	0
Q13546	O96017	0
Q6PGP7	Q9NQB0	0
Q9UL63	Q7L2E3	0
P62899	P16989	0
A8K8P3	O15078	0
P27361	P67775	0
P46937	P52294	0
Q9Y265	Q9Y2X7	0
Q9UL03	Q15910	0
Q9BZM4	Q8N201	0
P60709	P54652	0
O15446	Q9NRL2	0
O14929	O95707	0
Q9Y2W1	P39023	0
Q16585	P11362	0
P42575	P42224	0
Q9BTC8	Q5TA45	0
Q96DV4	P61353	0
Q07157	P02751	0
O75717	Q9ULM3	0
Q641Q2	Q9UKZ1	0
O00203	Q08211	0
P13073	Q9NS69	0
Q9H0E3	Q9BZD4	0
Q6MZP7	Q96ST3	0
Q6P9B9	Q96G97	0
Q9Y3B7	Q13523	0
O75175	Q9NZW5	0
Q12874	Q15542	0
P32121	Q08379	0
Q13683	Q08722	0
P13612	Q09328	0
Q08945	Q9NQ50	0
Q99570	Q15526	0
O14744	P62258	0
P63167	Q14204	0
Q9Y2T2	Q9UID3	0
Q96EX3	Q13535	0
P42695	Q68E01	0
Q9UP83	P35613	0
Q9BQE4	O14980	0
P67775	Q6P4R8	0
O14929	P29374	0
Q86XI2	Q9Y4A5	0
O14745	Q8WVM7	0
Q99832	Q9H0E3	0
Q6P1X5	P49756	0
Q9BYC8	Q9BU64	0
O43739	P17987	0
Q6VY07	Q14573	0
Q9NQ50	Q96DF8	0
P40227	Q13769	0
P09001	Q9NUL7	0
P29590	P08670	0
Q13309	P30260	0
Q99549	P51610	0
Q9UP83	Q13576	0
O60216	Q9NZI8	0
P27540	Q13123	0
Q07866	Q7L1W4	0
O75489	Q6P9B9	0
O94927	P60953	0
O75934	Q7Z2W9	0
Q96JG6	Q15836	0
Q92643	Q92896	0
P02545	Q9BZD4	0
Q13435	O15234	0
Q9Y679	P00395	0
P01871	P19838	0
Q13247	P08865	0
O60907	P04637	0
P41743	Q04721	0
Q8IYU8	P11362	0
O60907	O15111	0
Q8IU81	P27540	0
Q96Q15	Q96CW5	0
Q15075	Q06609	0
Q9HD33	P07910	0
P33176	Q8NBT2	0
Q96KQ4	P56279	0
P0CG13	P06400	0
Q71U36	Q9UKV5	0
O14617	P54198	0
O96017	P22455	0
O14757	O75317	0
Q8WXD5	Q68E01	0
Q969N2	P12830	0
P54198	P62424	0
O43290	P78346	0
Q9Y375	P03905	0
Q14137	O15078	0
P84103	Q9BYD1	0
P02792	Q14974	0
Q9Y664	P78357	0
P46777	P07910	0
P27540	P11142	0
O43752	Q8IUR0	0
P52294	Q6WCQ1	0
P05386	Q03188	0
P06756	Q9UIW2	0
Q13435	Q9P015	0
Q96G21	P32969	0
Q03135	Q9BVI0	0
Q96N67	O95817	0
Q9UMN6	Q8IYH5	0
P07910	Q03188	0
Q96KQ7	P17987	0
Q9NVH2	Q9NYJ8	0
Q8N983	Q9UHA3	0
Q9H3P2	Q9UBV2	0
Q9H4B6	P63151	0
Q5T653	O14617	0
Q9GZP9	O95169	0
O75446	Q9NS73	0
O95295	O60282	0
O15360	O95271	0
Q6VMQ6	Q9HCK8	0
Q16718	P36542	0
P49642	Q5SXM2	0
Q8TAA9	Q96G21	0
Q9H4B6	P13984	0
P36578	P46199	0
Q96B97	Q9H9Y6	0
Q9NRR4	P62910	0
P07992	Q8IUR0	0
Q92759	Q16342	0
Q13435	O60264	0
Q9Y2X0	Q6R327	0
P35269	O95271	0
Q96LT9	Q14562	0
P46782	Q15573	0
P17706	Q00765	0
Q8WTW3	Q16795	0
P36578	Q96T37	0
Q9Y297	P17612	0
Q05586	P51946	0
O96017	Q14683	0
Q13084	P61353	0
P23396	Q9ULG1	0
Q06323	Q9H9Y6	0
P55060	Q7L014	0
O00165	P42224	0
P67809	Q6P161	0
P51003	P07948	0
Q9BYD1	Q9UER7	0
Q12933	P05387	0
A5YKK6	O75376	0
Q96KQ4	O95613	0
O75146	O15027	0
Q13393	O95782	0
P13612	P12821	0
Q9NV88	Q15853	0
P62995	Q8TEQ6	0
Q8IVD9	Q9P0U4	0
P51003	Q9BXP5	0
Q13049	Q13438	0
O00541	Q9Y2J2	0
Q8IU81	Q9ULM3	0
Q09472	Q5T1M5	0
Q96T58	Q9H8E8	0
P57740	Q68E01	0
Q9GZS1	O95613	0
Q13367	O15355	0
Q86TS9	Q9UER7	0
Q9H4L4	Q5XPI4	0
Q9Y6K9	O43290	0
Q13546	Q9P0U4	0
Q9NVH2	Q01970	0
Q13451	Q969F9	0
P54105	Q86TS9	0
Q9UL15	Q9NXR7	0
Q9UKZ1	Q13309	0
O00425	Q96EY7	0
Q6PGP7	P49756	0
Q9Y2Q5	Q9BXP5	0
Q71U36	Q8TAM2	0
Q9P253	O14777	0
Q8WUW1	Q9Y2X7	0
Q7KZN9	O75964	0
P27348	P20248	0
Q9NWU2	O14561	0
Q01105	P0DI81	0
Q96H22	Q9NRR4	0
Q9P015	P06748	0
Q13574	P42345	0
O15047	Q9NUX5	0
Q9H981	Q8IUR0	0
O95835	P33176	0
Q00526	P12004	0
Q9P2K3	Q8N5N7	0
O14965	P61073	0
Q5H9R7	P63151	0
Q86XI2	Q96S52	0
Q53GS7	Q9P0W2	0
Q13563	P06576	0
P23396	Q9NQ50	0
Q9NYV4	P62888	0
P27361	P05496	0
O00203	O75394	0
O75317	Q9Y297	0
P36897	P26006	0
P01011	Q15648	0
P14373	Q9NS73	0
P46736	P35226	0
Q96BT3	Q13415	0
P20226	Q9BVC3	0
Q68CZ6	O95295	0
Q9Y2W1	Q9NZE8	0
P01009	P02671	0
O75694	P62241	0
Q9BYD1	Q8IYB3	0
P0C0S5	Q96BD5	0
O75436	Q9NWB7	0
Q9NWU2	P06241	0
Q8TAM1	Q8WVB6	0
O94763	Q96PV6	0
P07437	P42695	0
O15379	O43739	0
P32121	Q9BZM4	0
Q9BYD2	Q07021	0
P17676	Q4U2R6	0
Q9UBU6	O14763	0
Q7KZN9	Q75QN2	0
Q93009	P81274	0
Q96EK2	Q9UBB5	0
P63027	O95298	0
Q9BUL9	O95639	0
Q9H490	O43674	0
Q9GZP9	Q7L8L6	0
Q13573	P46777	0
O95251	P51805	0
P52294	Q15910	0
P28340	Q8TAM2	0
O14744	Q15696	0
O60260	P61586	0
P42224	Q5XPI4	0
Q12955	P21802	0
Q9UHA3	P62847	0
Q92769	Q9Y4E1	0
Q12904	Q9GZS1	0
P08708	Q9NYV4	0
Q9P253	Q9NPJ6	0
Q9P015	P62906	0
P05387	P09001	0
O60306	Q99575	0
Q6NSJ5	Q8N201	0
Q9Y3B7	Q9UER7	0
P57740	Q9Y376	0
P28340	Q8WVB6	0
O15111	Q9ULR0	0
Q9UKG1	Q14145	0
O15360	Q8TEX9	0
O60907	P52907	0
Q07020	Q9P015	0
Q9UNE7	Q8WVB6	0
Q53T94	O15446	0
Q86VP6	Q16342	0
P49643	O60216	0
O00203	P51610	0
Q5H9R7	P09001	0
P15880	P54105	0
Q53GS7	Q13576	0
Q8TAF3	Q9Y2X7	0
Q6UB99	O94927	0
O15379	Q9BWH6	0
P48553	P50552	0
P09661	P83731	0
P46782	Q96I25	0
Q15750	Q9BSJ2	0
P35568	P26196	0
O15027	Q7Z4H7	0
P16989	Q9BRJ2	0
P06241	Q12929	0
P49736	Q7KZ85	0
Q71F56	P19838	0
Q03164	P49711	0
Q15185	Q71SY5	0
O95347	Q6P9B9	0
Q9BWT6	Q01970	0
O14936	P46783	0
A5YKK6	O60313	0
O75717	O60313	0
Q9BXP5	P21926	0
Q09472	Q9NS73	0
Q15047	Q00613	0
P40763	Q15369	0
Q96T58	P55196	0
Q71U36	Q04206	0
P49642	O95707	0
Q14562	O00268	0
Q6PGP7	Q8WXD5	0
Q9BYC9	Q9UKV3	0
Q9HBM1	O00471	0
P83731	Q03188	0
Q16891	Q92616	0
Q86XI2	Q96JC1	0
P16989	Q9NX24	0
Q9UNP9	O15234	0
Q96Q05	Q02750	0
P35251	Q9NV31	0
Q99459	Q8WXD5	0
P39023	Q01780	0
Q9NWU2	O75394	0
Q9UNH7	Q8IVD9	0
P62841	P03915	0
Q96SB4	Q96EY7	0
P11362	P03923	0
P52272	Q96PV6	0
P62263	Q9UKB1	0
Q03111	Q96DF8	0
Q9UL63	P02679	0
Q6DD88	P21926	0
P46781	Q15573	0
Q7Z6J9	Q9BYC9	0
P07910	O00505	0
Q8IZL8	Q53GS7	0
Q13309	Q9Y2X9	0
Q9H1B7	Q12874	0
P22090	O43464	0
O95639	Q8IXM3	0
P36897	P35221	0
Q13352	P17544	0
Q9NZJ0	P42336	0
Q15054	O14983	0
Q00987	Q9NUL7	0
P36507	O60885	0
Q9BQ95	P03915	0
Q86UP2	O14777	0
Q9BT25	Q9Y2X9	0
Q8TAA9	O60231	0
Q96SB4	O00425	0
P52815	P62851	0
Q96EP0	P49815	0
Q08999	P61024	0
Q9BYD3	P05386	0
Q9BZE1	O14964	0
Q8NFD5	Q9BZK7	0
P30154	P00450	0
Q8WUM0	Q96CB8	0
O75461	Q96MW5	0
O43318	Q9H1B7	0
P36507	P50613	0
Q9UJC3	O60216	0
Q92889	Q12834	0
P46779	Q03188	0
Q6I9Y2	O75394	0
Q96JG6	Q8N201	0
Q96LI5	Q14186	0
Q6P2Q9	O94887	0
Q9HD33	Q9NYV4	0
Q13243	P26373	0
Q9BQ87	Q9UL03	0
O43303	P78395	0
P02745	P06756	0
Q96EP0	Q14683	0
Q8N3U4	Q8IXH7	0
Q7Z5L9	Q8IYH5	0
Q8IVD9	P07437	0
Q9BPX6	P49757	0
Q15750	Q96AP0	0
Q9NRA8	Q9ULM3	0
Q9ULH1	P50552	0
Q9UBB9	Q92878	0
Q02543	Q9UER7	0
P48553	Q8WUQ7	0
Q14137	O43303	0
Q9BZE1	P05388	0
P06493	Q92547	0
O75146	O00429	0
Q9NQC1	Q92993	0
O75817	P06748	0
Q9H7L9	P01011	0
Q8WUQ7	P40429	0
Q96L91	Q9NS73	0
P11142	Q9NVX0	0
Q00765	Q9Y679	0
O75533	Q9NYY8	0
P62701	Q8TAM1	0
O60271	P52948	0
Q9UBU6	P56192	0
Q9Y375	Q8NHH9	0
Q96IZ0	Q9NW64	0
P16989	O15234	0
P41743	Q9UKZ1	0
Q5H9R7	P02792	0
P30154	Q9UHI6	0
Q07866	Q6QNY1	0
Q9Y3C0	O95613	0
P08648	Q5XPI4	0
O75306	Q96ED9	0
Q99720	Q75QN2	0
Q9BZE1	P62701	0
Q6PGP7	P62829	0
P35269	O95613	0
Q8N3U4	Q92990	0
Q9GZS3	P48643	0
Q5SXM2	Q9NQB0	0
P19438	Q9ULK5	0
P30154	Q96MW5	0
Q9Y230	Q9NQC1	0
Q9Y570	P49336	0
P08708	O75694	0
P28676	P01871	0
Q8WVK2	O95149	0
Q9H3R5	Q14980	0
Q6PGP7	Q9NXF1	0
Q9Y375	Q15836	0
Q9BVC4	Q16795	0
Q15836	Q15047	0
Q9BQ95	P46531	0
Q5HYA8	Q9NZW5	0
Q9NPF5	Q01970	0
Q53GS7	Q9UBN7	0
Q9UL15	Q16342	0
P32121	Q9HAR2	0
Q13576	O00159	0
Q8WWI1	P30291	0
Q9BUR4	O94887	0
Q9H3P2	O14980	0
O95793	Q13523	0
Q9Y6M9	Q8N201	0
P41252	Q96MW5	0
P18847	Q7Z4H7	0
Q8IYU8	P78395	0
Q8TAF3	Q9H0H0	0
P20226	P22090	0
P18621	Q13105	0
Q6IEG0	Q92830	0
P51531	O75052	0
Q96H22	P46776	0
Q96EB6	Q9UBU8	0
Q9HCG8	Q9NWB7	0
O14777	P22415	0
O95835	O95251	0
Q86YV9	P21675	0
Q9NPE3	P62917	0
Q8WWI1	Q8IZP0	0
Q6P9B9	Q9NX14	0
P62829	Q9UKB1	0
O75530	Q9Y6J0	0
P46777	Q7L2Z9	0
P36507	P50570	0
O60306	Q9H9F9	0
Q8TDW0	Q96CB8	0
Q9NQB0	Q969F9	0
P15880	Q9NPF5	0
P62750	P49356	0
Q16560	O43809	0
O75400	Q9NQS3	0
P16220	Q7Z7F7	0
Q9GZY4	O75052	0
Q9UL15	Q8TAM2	0
Q99871	Q68E01	0
Q9UHI6	P18074	0
Q9NW38	Q13535	0
P28676	P63208	0
Q15477	Q9NYY8	0
O00425	P61313	0
Q9NRA8	Q96ED9	0
P02675	O75436	0
O14980	Q9BSJ2	0
P35226	Q9NS73	0
Q71U36	P49959	0
O43739	Q9HCS7	0
Q9H840	O14744	0
Q15751	Q9UHA3	0
Q92562	Q92547	0
P62241	Q9HD33	0
Q16514	P19447	0
P62899	Q99575	0
Q13888	Q9UKB1	0
Q9H4L4	Q9UIG0	0
P14780	P51159	0
Q96Q05	P02751	0
Q96GC5	P62841	0
P61513	Q14498	0
Q6WCQ1	P00519	0
Q13112	Q15022	0
Q8N3P4	Q8WXD5	0
Q9NX70	O15550	0
Q9UKM9	Q9Y605	0
P06213	Q96Q05	0
Q6P2Q9	Q8N3U4	0
Q12768	P49815	0
O00443	O95782	0
O75376	Q9UPV0	0
Q6DD88	Q12768	0
P62899	P16104	0
Q13596	Q9NZW5	0
Q9UK41	P08670	0
P42766	O75394	0
Q9H4L4	Q9Y6J0	0
Q6P2Q9	Q68CZ6	0
Q8IU81	Q12874	0
Q13596	Q9NYK5	0
Q9H9A5	Q5XPI4	0
Q9HCK8	Q9NYJ8	0
O60907	Q13596	0
Q15427	Q99575	0
Q6WCQ1	Q08945	0
Q15797	Q8IWT6	0
Q99720	P52701	0
Q15477	Q14683	0
P06748	Q7KZ85	0
P02792	Q96DV4	0
P01871	Q8N201	0
Q96N67	O94763	0
P78347	Q96DV4	0
Q8NBZ0	P43243	0
Q9BYD2	O60506	0
O00425	P62847	0
P19338	Q9NQ50	0
Q96ST3	Q15022	0
P16989	Q9P015	0
Q9Y3B7	O60832	0
Q9NV31	Q99459	0
P49757	O15446	0
Q13576	Q15542	0
Q86YF9	Q9NRR6	0
Q16629	Q9P2I0	0
P55884	Q13330	0
Q9UKG1	P51159	0
Q6NSJ5	Q9UL15	0
Q15831	O60885	0
O60832	P61353	0
P07910	Q16540	0
P42575	P52630	0
Q9Y3B7	P16220	0
O14974	P26373	0
Q13563	Q8WVK2	0
Q6PGP7	Q14683	0
Q75QN2	Q9UI09	0
P49642	Q13618	0
O43299	Q7KZN9	0
Q92616	Q9Y376	0
Q9Y6D9	O60885	0
Q13813	P06576	0
O00443	Q13451	0
P46937	P42695	0
Q9Y4W2	Q7L2E3	0
Q9NYV4	P22681	0
P61586	O75436	0
Q9BUL9	O60231	0
Q641Q2	Q8NCM8	0
Q8TBF4	Q9UER7	0
Q9NYK5	P46781	0
Q00613	Q9BVC3	0
O43299	Q68CZ6	0
Q92562	Q7L8L6	0
Q15477	Q7KZN9	0
Q15477	P52701	0
Q9NWB7	Q8NF91	0
P54198	Q9P0U4	0
Q9Y294	Q9HCU9	0
Q9NS73	Q15291	0
P27361	P46779	0
Q9Y664	O95251	0
O43303	Q00987	0
Q86YV9	P28340	0
P0CG13	P07910	0
P67775	Q96J01	0
O95071	Q04721	0
Q96AX1	Q8IUR0	0
Q9BTU6	Q7L1Q6	0
Q9H160	Q9H3R5	0
P46199	Q9NWU5	0
P07910	Q13526	0
Q13683	Q07864	0
Q9BYD1	P62913	0
P62857	Q9BYC8	0
O75376	Q9H7D7	0
P62910	Q53GS7	0
P23396	Q9UPY3	0
Q8WW35	O95182	0
Q9H3P2	Q12955	0
Q86U70	Q8IYH5	0
Q8TAA9	O14786	0
Q13049	Q9UP83	0
Q9NVR2	Q16630	0
Q96LT9	O43809	0
P11362	Q08345	0
P25490	Q6R327	0
Q68EM7	P21675	0
Q92793	O00429	0
Q7KZN9	Q9P0J0	0
Q99741	O95707	0
Q8IZH2	P62424	0
Q96GC5	P78347	0
Q9BYD6	P62424	0
Q96I25	Q9UPY3	0
P56199	Q96S52	0
Q9NQB0	Q99459	0
P07437	P78395	0
P42345	Q9Y385	0
P78371	Q53G59	0
Q8NE86	Q8NHH9	0
O95639	Q7Z7H8	0
Q9BYD1	Q7L2E3	0
Q08379	P41743	0
Q9NQ50	P61254	0
Q8WUH2	Q9BXC9	0
P02792	Q9BXP5	0
O60306	Q8N8D1	0
Q9BZD4	Q8N201	0
Q9NX24	Q71F23	0
Q96QC0	O75818	0
P18621	Q99459	0
Q96CW5	Q96CB8	0
Q13352	P62913	0
Q14186	Q13309	0
Q9BYC8	P22090	0
Q9H9J2	Q9UL63	0
Q9Y679	O14763	0
Q13617	Q8IUR0	0
Q9NZ08	P21675	0
Q92766	Q14186	0
Q969N2	O43676	0
O60907	Q13547	0
Q8N1B4	P16615	0
P42224	Q8TAG9	0
Q9HCG8	Q9P2Y5	0
P35251	Q9UII2	0
Q9P253	O60313	0
P50539	Q14186	0
P24539	P03915	0
P16615	Q13535	0
Q9Y664	O75051	0
Q71F56	Q8N201	0
P28370	P49756	0
P02675	Q02750	0
P33176	Q96DF8	0
Q01105	P62841	0
Q71U36	Q99871	0
Q9HCG8	Q14155	0
Q9UBB9	Q15544	0
Q13557	A8K8P3	0
P08708	Q9NXF1	0
P33176	Q8IZP0	0
Q9P015	O95793	0
Q9P253	Q9NS73	0
Q9GZL7	Q7L014	0
Q49AN0	O00443	0
Q13574	Q9GZY4	0
P98170	P30260	0
Q96PV6	Q99575	0
Q9BUL9	Q9BZJ0	0
Q9H0F6	P52435	0
Q641Q2	Q15836	0
Q96GC5	P46783	0
Q9HD33	Q71F23	0
Q8TAA9	Q9NY12	0
Q8TAA9	P67809	0
Q96EZ8	Q9Y5P8	0
P06241	Q9BYD3	0
P00395	O43913	0
Q9NVH2	P04626	0
Q9NRR4	O75530	0
O60664	P02671	0
Q96JG6	Q96CW1	0
Q9BZK7	O60934	0
Q13438	Q9NYK5	0
P08238	Q96EP0	0
P52630	Q96Q15	0
P19447	Q9NS73	0
Q9Y265	Q9NQB0	0
Q9UHA4	O14763	0
P42695	Q16795	0
O15379	Q9NXX6	0
